Entity,Wall,Stair,Slab,FurnishingElement,Column,Flowterminal,FlowSegment,FlowFitting,FlowController,DistributionControlElement,Window,Door,IfcWallStandardCase_3_QnWjyCf43uOsOSqFjYHW
IfcColumn_3ey666MOzBQvZ3zYoltDUk,IfcWallStandardCase_3j$LTB0TT2E97vSLAEin92,,,,,,,,,,,,
IfcColumn_3ey666MOzBQvZ3zYoltDUk,IfcWallStandardCase_3DeOh8UPf4VfOvqETPHTT7,,,,,,,,,,,,
IfcColumn_24epyq_Nj3DR8P0E_2ooqN,,,IfcSlab_19rENoCzn3cOO5WkCHbjkC,,,,,,,,,,
IfcColumn_24epyq_Nj3DR8P0E_2ooqN,,,IfcSlab_22zqxcDqH5rx9gjXux81TQ,,,,,,,,,,
IfcColumn_3a5F5dpvn2UwgV81zSHAne,,,IfcSlab_19rENoCzn3cOO5WkCHbjkC,,,,,,,,,,
IfcColumn_2hNexUsPr3bOsF3aPDw_12,,,IfcSlab_19rENoCzn3cOO5WkCHbjkC,,,,,,,,,,
IfcColumn_2hNexUsPr3bOsF3aPDw_12,,,IfcSlab_22zqxcDqH5rx9gjXux81TQ,,,,,,,,,,
IfcColumn_2hNexUsPr3bOsF3aPDw_12,IfcWallStandardCase_0IqrFOdJ9EXRsMuAJSgtTP,,,,,,,,,,,,
IfcColumn_21zGr$bkrCew7we0IRaN52,,,IfcSlab_22zqxcDqH5rx9gjXux81TQ,,,,,,,,,,
IfcColumn_1o7ntbeyrDOhyhQFuE12l$,,,IfcSlab_22zqxcDqH5rx9gjXux81TQ,,,,,,,,,,
IfcColumn_3HzEsRbjXDcPfrgjitjBr_,,,IfcSlab_22zqxcDqH5rx9gjXux81TQ,,,,,,,,,,
IfcColumn_3HzEsRbjXDcPfrgjitjBr_,IfcWallStandardCase_3cMjtvSDrERhwOyJd0ih7H,,,,,,,,,,,,
IfcColumn_2M1IE8qODDexhK9jx4Xz8r,,,IfcSlab_22zqxcDqH5rx9gjXux81TQ,,,,,,,,,,
IfcColumn_0$DfqSiNr4hAWAG$JSSm9C,,,IfcSlab_22zqxcDqH5rx9gjXux81TQ,,,,,,,,,,
IfcColumn_0DukwoNM11FfJ_WTSmMqQc,,,IfcSlab_22zqxcDqH5rx9gjXux81TQ,,,,,,,,,,
IfcColumn_0DukwoNM11FfJ_WTSmMqQc,,,IfcSlab_3$kz3cRBv49esDROd1aDaM,,,,,,,,,,
IfcColumn_0DukwoNM11FfJ_WTSmMqQc,IfcWallStandardCase_0oZpZnTgH9thZdjoQFGuWY,,,,,,,,,,,,
IfcColumn_0_vUy8AfX1y8f2RQEA3wx1,,,,,IfcColumn_1RYz7$7IX5DhRPvxYPN6YW,,,,,,,,
IfcColumn_0_vUy8AfX1y8f2RQEA3wx1,,,IfcSlab_166FPfjj98yuF8iqmXhtN9,,,,,,,,,,
IfcColumn_0_vUy8AfX1y8f2RQEA3wx1,IfcWallStandardCase_1vQ5VlmuHCVR5kFUTmybH1,,,,,,,,,,,,
IfcColumn_0_vUy8AfX1y8f2RQEA3wx1,IfcWallStandardCase_3SpiYi0w5Cae5YBHgDHTeN,,,,,,,,,,,,
IfcColumn_0HVBytT7T2rR2Fh0G4UxtN,,,,,IfcColumn_0DlKC8gxXBbQMGPZpoUwJI,,,,,,,,
IfcColumn_0HVBytT7T2rR2Fh0G4UxtN,,,IfcSlab_2qYGBzrqr7Wv7TzULfd92n,,,,,,,,,,
IfcColumn_0HVBytT7T2rR2Fh0G4UxtN,,,IfcSlab_1P28UyzMP83xIfIWgwOsb3,,,,,,,,,,
IfcColumn_0HVBytT7T2rR2Fh0G4UxtN,,,IfcSlab_166FPfjj98yuF8iqmXhtN9,,,,,,,,,,
IfcColumn_0HVBytT7T2rR2Fh0G4UxtN,IfcWallStandardCase_1Z3bLeBCD37fgmBtIzNcI8,,,,,,,,,,,,
IfcColumn_1uM5Jn_Xz3xeIcCY3XPWCR,,,IfcSlab_22zqxcDqH5rx9gjXux81TQ,,,,,,,,,,
IfcColumn_1uM5Jn_Xz3xeIcCY3XPWCR,,,IfcSlab_3EFhplJ99DThWXI3yN3_LX,,,,,,,,,,
IfcColumn_1uM5Jn_Xz3xeIcCY3XPWCR,,,IfcSlab_3$kz3cRBv49esDROd1aDaM,,,,,,,,,,
IfcColumn_1uM5Jn_Xz3xeIcCY3XPWCR,IfcWallStandardCase_1cYadzbzf60wwPW1X1th5z,,,,,,,,,,,,
IfcColumn_1uM5Jn_Xz3xeIcCY3XPWCR,IfcWallStandardCase_3cMjtvSDrERhwOyJd0ih7H,,,,,,,,,,,,
IfcColumn_1uM5Jn_Xz3xeIcCY3XPWCR,IfcWallStandardCase_3EgdVMh4b7IAa6_pV3d2g0,,,,,,,,,,,,
IfcColumn_1CdjCD0PTCi9FA4MecOGCj,,,,,IfcColumn_3IA_xdz1108eaOu_E_fDPb,,,,,,,,
IfcColumn_1CdjCD0PTCi9FA4MecOGCj,,,,,IfcColumn_3XGsI7ALX31wjQCtwudimH,,,,,,,,
IfcColumn_1CdjCD0PTCi9FA4MecOGCj,,,IfcSlab_166FPfjj98yuF8iqmXhtN9,,,,,,,,,,
IfcColumn_1CdjCD0PTCi9FA4MecOGCj,IfcWallStandardCase_0mttVb_GjEJxcK5EVYCBWv,,,,,,,,,,,,
IfcColumn_1CdjCD0PTCi9FA4MecOGCj,IfcWallStandardCase_2ky_B4v9X8AguM9E8sSVps,,,,,,,,,,,,
IfcColumn_1MGG$KIBX1aBsEy673XdPF,,,,,IfcColumn_2bubM1ZEP92uDjucevy8Fl,,,,,,,,
IfcColumn_1MGG$KIBX1aBsEy673XdPF,,,,,IfcColumn_1246ypQeTD282qJNlDC7pX,,,,,,,,
IfcColumn_1MGG$KIBX1aBsEy673XdPF,,,IfcSlab_166FPfjj98yuF8iqmXhtN9,,,,,,,,,,
IfcColumn_1MGG$KIBX1aBsEy673XdPF,IfcWallStandardCase_2ky_B4v9X8AguM9E8sSVps,,,,,,,,,,,,
IfcColumn_1MGG$KIBX1aBsEy673XdPF,IfcWallStandardCase_27l_PsN2D03w7U_7391eUJ,,,,,,,,,,,,
IfcColumn_3wAvBLRx59_9Yj4s5XwG$F,,,,,IfcColumn_0BxL0rH$fBEwHmIjOdE6mM,,,,,,,,
IfcColumn_3wAvBLRx59_9Yj4s5XwG$F,,,IfcSlab_3EFhplJ99DThWXI3yN3_LX,,,,,,,,,,
IfcColumn_3wAvBLRx59_9Yj4s5XwG$F,,,IfcSlab_166FPfjj98yuF8iqmXhtN9,,,,,,,,,,
IfcColumn_1o8bVZkaP2sAgTSbtVtdbX,,,IfcSlab_22zqxcDqH5rx9gjXux81TQ,,,,,,,,,,
IfcColumn_1o8bVZkaP2sAgTSbtVtdbX,,,IfcSlab_3$kz3cRBv49esDROd1aDaM,,,,,,,,,,
IfcColumn_1o8bVZkaP2sAgTSbtVtdbX,IfcWallStandardCase_0RSUEP84HCLP0QMj6xttu5,,,,,,,,,,,,
IfcColumn_1o8bVZkaP2sAgTSbtVtdbX,IfcWallStandardCase_1cYadzbzf60wwPW1X1th5z,,,,,,,,,,,,
IfcColumn_0cYsd_nQj4lRfsgrc258Em,,,IfcSlab_22zqxcDqH5rx9gjXux81TQ,,,,,,,,,,
IfcColumn_0cYsd_nQj4lRfsgrc258Em,,,IfcSlab_3$kz3cRBv49esDROd1aDaM,,,,,,,,,,
IfcColumn_0cYsd_nQj4lRfsgrc258Em,IfcWallStandardCase_0RSUEP84HCLP0QMj6xttu5,,,,,,,,,,,,
IfcColumn_0cYsd_nQj4lRfsgrc258Em,IfcWallStandardCase_3dMqTsm$v1Jw6WT3d4oJxr,,,,,,,,,,,,
IfcColumn_3jEvZE11zCRPFgPK8xNJvb,,,IfcSlab_1P28UyzMP83xIfIWgwOsb3,,,,,,,,,,
IfcColumn_3jEvZE11zCRPFgPK8xNJvb,IfcWallStandardCase_1BQIICQ3v4B88I8dsjIUNZ,,,,,,,,,,,,
IfcColumn_3jEvZE11zCRPFgPK8xNJvb,IfcWallStandardCase_37mIh0rKT3MgXrwZqaOZ53,,,,,,,,,,,,
IfcColumn_2KOh0x7jLDJwtfllDEuEIr,,,IfcSlab_1P28UyzMP83xIfIWgwOsb3,,,,,,,,,,
IfcColumn_2KOh0x7jLDJwtfllDEuEIr,IfcWallStandardCase_20kGi$ECzDcxbaLKTKl358,,,,,,,,,,,,
IfcColumn_2KOh0x7jLDJwtfllDEuEIr,IfcWallStandardCase_3Xer$fLsTCdvWlwlTv9hjN,,,,,,,,,,,,
IfcColumn_2iVoc8g_LEN9NBCn2rX0EL,,,IfcSlab_1P28UyzMP83xIfIWgwOsb3,,,,,,,,,,
IfcColumn_2iVoc8g_LEN9NBCn2rX0EL,IfcWallStandardCase_355AIRkevEVxrAxt2WPdsa,,,,,,,,,,,,
IfcColumn_2iVoc8g_LEN9NBCn2rX0EL,IfcWallStandardCase_0j8ELHUZrC6h7TprV76QPb,,,,,,,,,,,,
IfcColumn_2uwj2kpWj0D9o3aFZeLUb9,,,IfcSlab_1P28UyzMP83xIfIWgwOsb3,,,,,,,,,,
IfcColumn_2uwj2kpWj0D9o3aFZeLUb9,IfcWallStandardCase_04tAD1fubED93GttBvh7xL,,,,,,,,,,,,
IfcColumn_2uwj2kpWj0D9o3aFZeLUb9,IfcWallStandardCase_2PGLBr1t97YB0Xj2lksSN1,,,,,,,,,,,,
IfcColumn_1j47VNgmnFrgvzavPL$BGU,,,IfcSlab_1P28UyzMP83xIfIWgwOsb3,,,,,,,,,,
IfcColumn_1oFQgQJZL24vYl20ERsHEF,,,,,IfcColumn_1B3u2dsTX4bgNyfncrw598,,,,,,,,
IfcColumn_1oFQgQJZL24vYl20ERsHEF,,,,,IfcColumn_2rqgIgxHH1cun4JzLewxYh,,,,,,,,
IfcColumn_1dXwPyTRr0GepEaUKHlgG6,,,,,IfcColumn_2DfEf40bf0qfNWX4_dbGj_,,,,,,,,
IfcColumn_1dXwPyTRr0GepEaUKHlgG6,,,IfcSlab_2qYGBzrqr7Wv7TzULfd92n,,,,,,,,,,
IfcColumn_1dXwPyTRr0GepEaUKHlgG6,,,IfcSlab_1P28UyzMP83xIfIWgwOsb3,,,,,,,,,,
IfcColumn_1dXwPyTRr0GepEaUKHlgG6,,,IfcSlab_166FPfjj98yuF8iqmXhtN9,,,,,,,,,,
IfcColumn_1dXwPyTRr0GepEaUKHlgG6,IfcWallStandardCase_1$ftNPU69EQeR4maWrYjwk,,,,,,,,,,,,
IfcColumn_1dXwPyTRr0GepEaUKHlgG6,IfcWallStandardCase_1pfbKQS7DCewuNDWF$a1NI,,,,,,,,,,,,
IfcColumn_3ImGdXCd992h7Lzth4QLlR,,,,,IfcColumn_1m$g7LxrX5UR2jFPTvaJP7,,,,,,,,
IfcColumn_3ImGdXCd992h7Lzth4QLlR,,,IfcSlab_2qYGBzrqr7Wv7TzULfd92n,,,,,,,,,,
IfcColumn_3ImGdXCd992h7Lzth4QLlR,,,IfcSlab_1P28UyzMP83xIfIWgwOsb3,,,,,,,,,,
IfcColumn_3ImGdXCd992h7Lzth4QLlR,,,IfcSlab_166FPfjj98yuF8iqmXhtN9,,,,,,,,,,
IfcColumn_3ImGdXCd992h7Lzth4QLlR,IfcWallStandardCase_0073uBlMHCAQ6A4G9NHAeW,,,,,,,,,,,,
IfcColumn_3ImGdXCd992h7Lzth4QLlR,IfcWallStandardCase_1IG0benEnD4eOMV5aEVskT,,,,,,,,,,,,
IfcColumn_0emaXY_75EuBR0n_2no11S,,,,,IfcColumn_11OGZRkzv0sAHu7DQ7Uxiy,,,,,,,,
IfcColumn_0emaXY_75EuBR0n_2no11S,,,IfcSlab_2qYGBzrqr7Wv7TzULfd92n,,,,,,,,,,
IfcColumn_0emaXY_75EuBR0n_2no11S,,,IfcSlab_1P28UyzMP83xIfIWgwOsb3,,,,,,,,,,
IfcColumn_0emaXY_75EuBR0n_2no11S,,,IfcSlab_166FPfjj98yuF8iqmXhtN9,,,,,,,,,,
IfcColumn_0emaXY_75EuBR0n_2no11S,IfcWallStandardCase_2$AeRMaaH9BOTgf8tiEMPS,,,,,,,,,,,,
IfcColumn_0emaXY_75EuBR0n_2no11S,IfcWallStandardCase_3Mm54$aLb1OencXWRt0o3S,,,,,,,,,,,,
IfcColumn_2XbmfNQNr1l9EQAIdsCo_$,,,,,IfcColumn_0KXd$dhx1798QjevS3kokJ,,,,,,,,
IfcColumn_2XbmfNQNr1l9EQAIdsCo_$,,,IfcSlab_2qYGBzrqr7Wv7TzULfd92n,,,,,,,,,,
IfcColumn_2XbmfNQNr1l9EQAIdsCo_$,,,IfcSlab_1P28UyzMP83xIfIWgwOsb3,,,,,,,,,,
IfcColumn_2XbmfNQNr1l9EQAIdsCo_$,,,IfcSlab_166FPfjj98yuF8iqmXhtN9,,,,,,,,,,
IfcColumn_0SkQ0lWITAzgiQlhXGoKs3,,,,,IfcColumn_2Je6EssPHEuxd$yWyysXwz,,,,,,,,
IfcColumn_0SkQ0lWITAzgiQlhXGoKs3,,,IfcSlab_2qYGBzrqr7Wv7TzULfd92n,,,,,,,,,,
IfcColumn_0SkQ0lWITAzgiQlhXGoKs3,,,IfcSlab_1P28UyzMP83xIfIWgwOsb3,,,,,,,,,,
IfcColumn_0SkQ0lWITAzgiQlhXGoKs3,,,IfcSlab_166FPfjj98yuF8iqmXhtN9,,,,,,,,,,
IfcColumn_0SkQ0lWITAzgiQlhXGoKs3,IfcWallStandardCase_132tgi3_v1DQ7URGl$Ybke,,,,,,,,,,,,
IfcColumn_0SkQ0lWITAzgiQlhXGoKs3,IfcWallStandardCase_3FNpZFsknFeeq1gSLnmgJR,,,,,,,,,,,,
IfcColumn_3orSkOWin5GPIOSaHbnB35,,,IfcSlab_22zqxcDqH5rx9gjXux81TQ,,,,,,,,,,
IfcColumn_3orSkOWin5GPIOSaHbnB35,,,IfcSlab_3$kz3cRBv49esDROd1aDaM,,,,,,,,,,
IfcColumn_3orSkOWin5GPIOSaHbnB35,IfcWallStandardCase_3wl0Pv40nFjvUyFeib0RHQ,,,,,,,,,,,,
IfcColumn_3orSkOWin5GPIOSaHbnB35,IfcWallStandardCase_27H8nk59vAagX3QdPMFfVb,,,,,,,,,,,,
IfcColumn_3orSkOWin5GPIOSaHbnB35,IfcWallStandardCase_0slViKzPbDrBR83Q4oWcAZ,,,,,,,,,,,,
IfcColumn_3orSkOWin5GPIOSaHbnB35,IfcWallStandardCase_1kq0jW_T114vyeMFiuGeRI,,,,,,,,,,,,
IfcColumn_1L6VKrkiP2yhwMNGFsxYCj,,,IfcSlab_22zqxcDqH5rx9gjXux81TQ,,,,,,,,,,
IfcColumn_1L6VKrkiP2yhwMNGFsxYCj,,,IfcSlab_3$kz3cRBv49esDROd1aDaM,,,,,,,,,,
IfcColumn_1L6VKrkiP2yhwMNGFsxYCj,IfcWallStandardCase_27H8nk59vAagX3QdPMFfVb,,,,,,,,,,,,
IfcColumn_1L6VKrkiP2yhwMNGFsxYCj,IfcWallStandardCase_0r8MHRqqf4dgTgU1Std5Dr,,,,,,,,,,,,
IfcColumn_1L6VKrkiP2yhwMNGFsxYCj,IfcWallStandardCase_0slViKzPbDrBR83Q4oWcAZ,,,,,,,,,,,,
IfcColumn_3kx6QcZOX8hRkCCaeaVkMA,,,IfcSlab_3$kz3cRBv49esDROd1aDaM,,,,,,,,,,
IfcColumn_3kx6QcZOX8hRkCCaeaVkMA,,,IfcSlab_0RKcvLPl94ZQeYsAniA0w7,,,,,,,,,,
IfcColumn_3kx6QcZOX8hRkCCaeaVkMA,IfcWallStandardCase_1ITOW9Q0nCBxbrVbunNFai,,,,,,,,,,,,
IfcColumn_3miXWS$wnCnerppnuWyNku,,,IfcSlab_3$kz3cRBv49esDROd1aDaM,,,,,,,,,,
IfcColumn_1W6InMyojCjwpzvjy_5sPO,,,IfcSlab_3$kz3cRBv49esDROd1aDaM,,,,,,,,,,
